time,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
380.950000,-0.305088,0.934240,9.750431
380.985000,-0.305091,0.934244,9.750442
381.020000,-0.305093,0.934247,9.750452
381.050000,-0.305095,0.934250,9.750460
381.085000,-0.305098,0.934253,9.750469
381.115000,-0.305100,0.934255,9.750477
381.150000,-0.305102,0.934257,9.750485
381.185000,-0.305104,0.934260,9.750492
381.215000,-0.305105,0.934261,9.750498
381.250000,-0.305107,0.934263,9.750504
381.280000,-0.305108,0.934265,9.750509
381.315000,-0.305046,0.934190,9.750529
381.350000,-0.304995,0.934104,9.750548
381.380000,-0.305112,0.934268,9.750524
381.415000,-0.305114,0.934270,9.750529
381.445000,-0.305115,0.934270,9.750533
381.480000,-0.305116,0.934271,9.750537
381.515000,-0.305117,0.934272,9.750540
381.545000,-0.305118,0.934272,9.750543
381.580000,-0.305119,0.934273,9.750547
381.610000,-0.305119,0.934273,9.750549
381.645000,-0.305120,0.934274,9.750552
381.680000,-0.305121,0.934274,9.750555
381.710000,-0.305122,0.934274,9.750557
381.745000,-0.305122,0.934274,9.750559
381.775000,-0.305123,0.934274,9.750561
381.810000,-0.305123,0.934274,9.750563
381.845000,-0.305125,0.934272,9.750566
381.875000,-0.309909,0.933066,9.749623
381.910000,-0.305120,0.934266,9.750571
381.940000,-0.299319,0.935669,9.751179
381.975000,-0.305070,0.934174,9.750581
382.010000,-0.305073,0.934161,9.750586
382.040000,-0.305074,0.934158,9.750588
382.075000,-0.305074,0.934155,9.750589
382.105000,-0.305075,0.934152,9.750590
382.140000,-0.305074,0.934152,9.750590
382.175000,-0.305074,0.934153,9.750590
382.205000,-0.305076,0.934144,9.750593
382.240000,-0.305076,0.934140,9.750595
382.270000,-0.305077,0.934137,9.750596
382.305000,-0.304872,0.934014,9.750630
382.340000,-0.305028,0.934034,9.750608
382.370000,-0.305038,0.934034,9.750607
382.405000,-0.305028,0.934029,9.750609
382.435000,-0.305028,0.934025,9.750610
382.470000,-0.305020,0.934017,9.750613
382.505000,-0.305020,0.934014,9.750614
382.535000,-0.305041,0.934024,9.750608
382.570000,-0.305044,0.934030,9.750605
382.600000,-0.305029,0.934007,9.750614
382.635000,-0.305020,0.933987,9.750622
382.670000,-0.305028,0.934000,9.750616
382.700000,-0.305027,0.933997,9.750617
382.735000,-0.305029,0.933994,9.750617
382.765000,-0.305031,0.933992,9.750617
382.800000,-0.596367,0.439462,9.743183
382.835000,-0.304933,0.933755,9.750545
382.865000,-0.304935,0.933756,9.750551
382.900000,-0.304938,0.933754,9.750558
382.930000,-0.304939,0.933760,9.750561
382.965000,-0.304942,0.933757,9.750568
383.000000,-0.304944,0.933757,9.750573
383.030000,-0.304944,0.933760,9.750576
383.065000,-0.304948,0.933754,9.750584
383.095000,-0.304947,0.933760,9.750585
383.130000,-0.304950,0.933756,9.750590
383.165000,-0.304851,0.933736,9.750609
383.195000,-0.304953,0.933755,9.750597
383.230000,-0.304952,0.933757,9.750599
383.260000,-0.304955,0.933754,9.750603
383.295000,-0.304956,0.933751,9.750606
383.330000,-0.304955,0.933749,9.750610
383.360000,-0.304958,0.933749,9.750612
383.395000,-0.304960,0.933748,9.750614
383.425000,-0.304957,0.933745,9.750617
383.460000,-0.304958,0.933743,9.750619
383.495000,0.343611,1.994757,9.769485
383.525000,-0.304909,0.933668,9.750626
383.560000,-0.304910,0.933665,9.750628
383.590000,-0.304911,0.933662,9.750630
383.625000,-0.305079,0.933725,9.750599
383.660000,-0.304889,0.933597,9.750660
383.690000,-0.299332,0.935001,9.751293
383.725000,-0.304888,0.933547,9.750652
383.755000,-0.304882,0.933541,9.750654
383.790000,-0.304883,0.933538,9.750656
383.825000,-0.304883,0.933535,9.750657
383.855000,-0.304883,0.933532,9.750658
383.890000,-0.300586,0.934741,9.751499
383.920000,-0.304886,0.933532,9.750658
383.955000,-0.304886,0.933531,9.750659
383.990000,-0.304886,0.933530,9.750660
384.020000,-0.304946,0.933610,9.750647
384.055000,-0.304887,0.933528,9.750661
384.085000,-0.304888,0.933529,9.750662
384.120000,-0.304887,0.933526,9.750663
384.155000,-0.304887,0.933526,9.750663
384.185000,-0.304887,0.933521,9.750665
384.220000,-0.304572,0.933207,9.750082
384.250000,-0.304625,0.933214,9.750121
384.285000,-0.304637,0.933211,9.750165
384.320000,-0.304644,0.933253,9.750193
384.350000,-0.304654,0.933266,9.750222
384.385000,-0.304675,0.933267,9.750262
384.415000,-0.304684,0.933279,9.750287
384.450000,-0.304689,0.933286,9.750315
384.485000,-0.304696,0.933295,9.750341
384.515000,-0.304703,0.933304,9.750361
384.550000,-0.304707,0.933310,9.750384
384.580000,-0.304712,0.933316,9.750402
384.615000,-0.304719,0.933325,9.750421
384.650000,-0.304722,0.933329,9.750440
384.680000,-0.304726,0.933334,9.750455
384.715000,-0.304731,0.933341,9.750471
384.745000,-0.304730,0.933358,9.750479
384.780000,-0.304737,0.933350,9.750497
384.815000,-0.304742,0.933353,9.750511
384.845000,-0.304743,0.933356,9.750521
384.880000,-0.304748,0.933359,9.750533
384.910000,-0.304750,0.933362,9.750542
384.945000,-0.304754,0.933363,9.750553
384.980000,-0.304756,0.933365,9.750562
385.010000,-0.304757,0.933369,9.750569
385.045000,-0.304760,0.933371,9.750577
385.075000,-0.304761,0.933373,9.750583
385.110000,-0.304763,0.933375,9.750591
385.145000,-0.304706,0.933304,9.750608
385.175000,-0.304766,0.933378,9.750602
385.210000,-0.304767,0.933381,9.750608
385.240000,-0.304769,0.933380,9.750613
385.275000,-0.310563,0.932461,9.749449
385.310000,-0.304759,0.933369,9.750628
385.340000,-0.304761,0.933368,9.750632
385.375000,-0.304763,0.933366,9.750636
385.405000,-0.304765,0.933365,9.750639
385.440000,-0.304767,0.933363,9.750643
385.475000,-0.304768,0.933361,9.750646
385.505000,0.509320,1.398297,10.155900
385.540000,-0.304725,0.933244,9.750666
385.570000,-0.304725,0.933242,9.750669
385.605000,-0.304647,0.933139,9.750692
385.640000,-0.304693,0.933134,9.750689
385.670000,-0.317967,0.478101,10.042916
385.705000,-0.304640,0.933057,9.750696
385.735000,-0.304641,0.933053,9.750698
385.770000,-0.304642,0.933049,9.750700
385.805000,-0.304643,0.933045,9.750702
385.835000,-0.304644,0.933042,9.750704
385.870000,-0.304645,0.933037,9.750705
385.900000,-0.304647,0.933027,9.750709
385.935000,-0.304646,0.933031,9.750708
385.970000,-0.304648,0.933019,9.750713
386.000000,-0.304648,0.933024,9.750711
386.035000,-0.304648,0.933020,9.750712
386.065000,-0.304649,0.933017,9.750713
386.100000,-0.304650,0.933006,9.750717
386.135000,-0.304650,0.933010,9.750716
386.165000,-0.304650,0.933007,9.750717
386.200000,-0.304651,0.933004,9.750718
386.230000,-0.304651,0.933001,9.750719
386.265000,-0.304651,0.932997,9.750720
386.300000,-0.304652,0.932994,9.750721
386.330000,-0.304652,0.932991,9.750721
386.365000,-0.304652,0.932989,9.750722
386.395000,-0.304831,0.932984,9.750696
386.430000,-0.304652,0.932982,9.750724
386.465000,-0.304654,0.932979,9.750724
386.495000,-0.304653,0.932976,9.750725
386.530000,-0.304653,0.932972,9.750726
386.560000,-0.304653,0.932970,9.750726
386.595000,-0.304654,0.932966,9.750727
386.630000,-0.304654,0.932963,9.750727
386.660000,-0.304654,0.932960,9.750728
386.695000,-0.304654,0.932957,9.750728
386.725000,-0.304654,0.932954,9.750729
386.760000,-0.304654,0.932951,9.750729
386.795000,-0.304655,0.932948,9.750730
386.825000,-0.304655,0.932950,9.750729
386.860000,-0.304655,0.932949,9.750730
386.890000,-0.304655,0.932948,9.750730
386.925000,-0.304698,0.932943,9.750726
386.960000,-0.304655,0.932941,9.750732
386.990000,-0.304655,0.932938,9.750732
387.025000,-0.304656,0.932935,9.750732
387.055000,-0.304656,0.932933,9.750733
387.090000,-0.304656,0.932930,9.750733
387.125000,-0.304656,0.932926,9.750734
387.155000,-0.304656,0.932924,9.750734
387.190000,-0.304656,0.932921,9.750734
387.220000,-0.304656,0.932918,9.750735
387.255000,-0.304656,0.932914,9.750735
387.290000,-0.304656,0.932912,9.750735
387.320000,-0.304656,0.932908,9.750736
387.355000,-0.304656,0.932906,9.750736
387.385000,-0.304657,0.932904,9.750736
387.420000,-0.304656,0.932900,9.750737
387.455000,-0.304327,0.932570,9.750142
387.485000,-0.304318,0.932577,9.750181
