time,name,position,velocity,effort
0.950000,pinza_i_link_joint,0.000023,-0.000000,-0.030580
0.950000,w1_link_joint,-0.000000,-0.000000,0.647096
0.950000,w2_link_joint,-0.000000,0.000000,-2.227546
0.950000,w3_link_joint,-0.000000,0.000000,0.000000
0.950000,w4_link_joint,0.000000,0.000000,0.000000
0.950000,w5_link_joint,0.000000,0.000000,-3.329966
0.950000,w6_link_joint,-0.000000,0.000000,0.000000
1.000000,brazo1_link_joint,-0.630000,-0.100000,-1.092727
1.000000,brazo2_link_joint,0.000014,0.000002,-0.457122
1.000000,paloquebaja_link_joint,-0.061695,0.002467,39.296099
1.000000,pinza_base_link_joint,-0.000014,-0.000002,-0.000201
1.000000,pinza_d_link_joint,0.000025,0.000000,0.034889
1.000000,pinza_i_link_joint,0.000023,-0.000000,-0.030403
1.000000,w1_link_joint,-0.000000,-0.000000,0.646231
1.000000,w2_link_joint,-0.000000,0.000000,-2.227111
1.000000,w3_link_joint,-0.000000,0.000000,0.000000
1.000000,w4_link_joint,0.000000,-0.000000,0.000000
1.000000,w5_link_joint,0.000000,0.000000,-3.329779
1.000000,w6_link_joint,-0.000000,0.000000,0.000000
1.050000,brazo1_link_joint,-0.635000,-0.100000,-1.086779
1.050000,brazo2_link_joint,0.000014,0.000002,-0.454634
1.050000,paloquebaja_link_joint,-0.061572,0.002467,39.296099
1.050000,pinza_base_link_joint,-0.000014,-0.000002,-0.000201
1.050000,pinza_d_link_joint,0.000025,0.000000,0.034711
1.050000,pinza_i_link_joint,0.000023,-0.000000,-0.030225
1.050000,w1_link_joint,-0.000000,-0.000000,0.645363
1.050000,w2_link_joint,-0.000000,0.000000,-2.226679
1.050000,w3_link_joint,-0.000000,0.000000,0.000000
1.050000,w4_link_joint,0.000000,-0.000000,0.000000
1.050000,w5_link_joint,0.000000,0.000000,-3.329587
1.050000,w6_link_joint,-0.000000,0.000000,0.000000
1.100000,brazo1_link_joint,-0.640000,-0.100000,-1.080803
1.100000,brazo2_link_joint,0.000014,0.000002,-0.452135
1.100000,paloquebaja_link_joint,-0.061448,0.002467,39.296099
1.100000,pinza_base_link_joint,-0.000014,-0.000002,-0.000201
1.100000,pinza_d_link_joint,0.000025,0.000000,0.034532
1.100000,pinza_i_link_joint,0.000023,-0.000000,-0.030047
1.100000,w1_link_joint,-0.000000,-0.000000,0.644490
1.100000,w2_link_joint,-0.000000,0.000000,-2.226251
1.100000,w3_link_joint,-0.000000,-0.000000,0.000000
1.100000,w4_link_joint,0.000000,0.000000,0.000000
1.100000,w5_link_joint,0.000000,0.000000,-3.329389
1.100000,w6_link_joint,-0.000000,0.000000,0.000000
1.150000,brazo1_link_joint,-0.645000,-0.100000,-1.074800
1.150000,brazo2_link_joint,0.000014,0.000002,-0.449624
1.150000,paloquebaja_link_joint,-0.061325,0.002467,39.296099
1.150000,pinza_base_link_joint,-0.000014,-0.000002,-0.000201
1.150000,pinza_d_link_joint,0.000025,0.000000,0.034353
1.150000,pinza_i_link_joint,0.000023,-0.000000,-0.029868
1.150000,w1_link_joint,-0.000000,-0.000000,0.643613
1.150000,w2_link_joint,-0.000000,0.000000,-2.225826
1.150000,w3_link_joint,-0.000000,0.000000,0.000000
1.150000,w4_link_joint,0.000000,0.000000,0.000000
1.150000,w5_link_joint,0.000000,0.000000,-3.329185
1.150000,w6_link_joint,-0.000000,0.000000,0.000000
1.200000,brazo1_link_joint,-0.650000,-0.100000,-1.068771
1.200000,brazo2_link_joint,0.000014,0.000002,-0.447103
1.200000,paloquebaja_link_joint,-0.061202,0.002467,39.296099
1.200000,pinza_base_link_joint,-0.000014,-0.000002,-0.000201
1.200000,pinza_d_link_joint,0.000025,0.000000,0.034173
1.200000,pinza_i_link_joint,0.000023,-0.000000,-0.029687
1.200000,w1_link_joint,-0.000000,-0.000000,0.642732
1.200000,w2_link_joint,-0.000000,0.000000,-2.225404
1.200000,w3_link_joint,-0.000000,0.000000,0.000000
1.200000,w4_link_joint,0.000000,-0.000000,0.000000
1.200000,w5_link_joint,0.000000,0.000000,-3.328974
1.200000,w6_link_joint,-0.000000,0.000000,0.000000
1.250000,brazo1_link_joint,-0.655000,-0.100000,-1.062714
1.250000,brazo2_link_joint,0.000014,0.000002,-0.444570
1.250000,paloquebaja_link_joint,-0.061078,0.002467,39.296099
1.250000,pinza_base_link_joint,-0.000014,-0.000002,-0.000201
1.250000,pinza_d_link_joint,0.000025,0.000000,0.033992
1.250000,pinza_i_link_joint,0.000023,-0.000000,-0.029507
1.250000,w1_link_joint,-0.000000,-0.000000,0.641846
1.250000,w2_link_joint,-0.000000,0.000000,-2.224986
1.250000,w3_link_joint,-0.000000,0.000000,0.000000
1.250000,w4_link_joint,0.000000,-0.000000,0.000000
1.250000,w5_link_joint,0.000000,0.000000,-3.328758
1.250000,w6_link_joint,-0.000000,-0.000000,0.000000
1.300000,brazo1_link_joint,-0.660000,-0.100000,-1.056631
1.300000,brazo2_link_joint,0.000014,0.000002,-0.442026
1.300000,paloquebaja_link_joint,-0.060955,0.002467,39.296099
1.300000,pinza_base_link_joint,-0.000014,-0.000002,-0.000201
1.300000,pinza_d_link_joint,0.000025,0.000000,0.033810
1.300000,pinza_i_link_joint,0.000023,-0.000000,-0.029325
1.300000,w1_link_joint,-0.000000,-0.000000,0.640956
1.300000,w2_link_joint,-0.000000,0.000000,-2.224572
1.300000,w3_link_joint,-0.000000,-0.000000,0.000000
1.300000,w4_link_joint,0.000000,-0.000000,0.000000
1.300000,w5_link_joint,0.000000,0.000000,-3.328536
1.300000,w6_link_joint,-0.000000,-0.000000,0.000000
1.350000,brazo1_link_joint,-0.665000,-0.100000,-1.050522
1.350000,brazo2_link_joint,0.000014,0.000002,-0.439471
1.350000,paloquebaja_link_joint,-0.060832,0.002467,39.296099
1.350000,pinza_base_link_joint,-0.000014,-0.000002,-0.000200
1.350000,pinza_d_link_joint,0.000025,0.000000,0.033628
1.350000,pinza_i_link_joint,0.000023,-0.000000,-0.029142
1.350000,w1_link_joint,-0.000000,-0.000000,0.640062
1.350000,w2_link_joint,-0.000000,0.000000,-2.224161
1.350000,w3_link_joint,-0.000000,0.000000,0.000000
1.350000,w4_link_joint,0.000000,0.000000,0.000000
1.350000,w5_link_joint,0.000000,0.000000,-3.328308
1.350000,w6_link_joint,-0.000000,-0.000000,0.000000
1.400000,brazo1_link_joint,-0.670000,-0.100000,-1.044387
1.400000,brazo2_link_joint,0.000014,0.000002,-0.436905
1.400000,paloquebaja_link_joint,-0.060708,0.002467,39.296099
1.400000,pinza_base_link_joint,-0.000014,-0.000002,-0.000200
1.400000,pinza_d_link_joint,0.000025,0.000000,0.033444
