time,linear_x,angular_z
1.987087,-0.500000,0.000000
1.987629,-0.500000,0.000000
1.988264,-0.500000,0.000000
1.988884,-0.500000,0.000000
1.989508,-0.500000,0.000000
1.990100,-0.500000,0.000000
1.990657,-0.500000,0.000000
1.991254,-0.500000,0.000000
1.991842,-0.500000,0.000000
1.992469,-0.500000,0.000000
1.993051,-0.500000,0.000000
1.993663,-0.500000,0.000000
1.994259,-0.500000,0.000000
1.994843,-0.500000,0.000000
1.995550,-0.500000,0.000000
1.996081,-0.500000,0.000000
1.996640,-0.500000,0.000000
1.997286,-0.500000,0.000000
1.997888,-0.500000,0.000000
1.998466,-0.500000,0.000000
1.999049,-0.500000,0.000000
1.999631,-0.500000,0.000000
2.000292,-0.500000,0.000000
2.000856,-0.500000,0.000000
2.001495,-0.500000,0.000000
2.002100,-0.500000,0.000000
2.002629,-0.500000,0.000000
2.003307,-0.500000,0.000000
2.003847,-0.500000,0.000000
2.004514,-0.500000,0.000000
2.005051,-0.500000,0.000000
2.005671,-0.500000,0.000000
2.006250,-0.500000,0.000000
2.006847,-0.500000,0.000000
2.007498,-0.500000,0.000000
2.008100,-0.500000,0.000000
2.008659,-0.500000,0.000000
2.009283,-0.500000,0.000000
2.009898,-0.500000,0.000000
2.010500,-0.500000,0.000000
2.011105,-0.500000,0.000000
2.011655,-0.500000,0.000000
2.012251,-0.500000,0.000000
2.012844,-0.500000,0.000000
2.013490,-0.500000,0.000000
2.014077,-0.500000,0.000000
2.014634,-0.500000,0.000000
2.015267,-0.500000,0.000000
2.015886,-0.500000,0.000000
2.016510,-0.500000,0.000000
2.017231,-0.500000,0.000000
2.017716,-0.500000,0.000000
2.018246,-0.500000,0.000000
2.018863,-0.500000,0.000000
2.019460,-0.500000,0.000000
2.020102,-0.500000,0.000000
2.020661,-0.500000,0.000000
2.021266,-0.500000,0.000000
2.021838,-0.500000,0.000000
2.022505,-0.500000,0.000000
2.023086,-0.500000,0.000000
2.023631,-0.500000,0.000000
2.024259,-0.500000,0.000000
2.024851,-0.500000,0.000000
2.025449,-0.500000,0.000000
2.026051,-0.500000,0.000000
2.026652,-0.500000,0.000000
2.027267,-0.500000,0.000000
2.027856,-0.500000,0.000000
2.028497,-0.500000,0.000000
2.029112,-0.500000,0.000000
2.029665,-0.500000,0.000000
2.030262,-0.500000,0.000000
2.030854,-0.500000,0.000000
2.031449,-0.500000,0.000000
2.032050,-0.500000,0.000000
2.032636,-0.500000,0.000000
2.033288,-0.500000,0.000000
2.033873,-0.500000,0.000000
2.034515,-0.500000,0.000000
2.035110,-0.500000,0.000000
2.163324,0.500000,0.000000
2.202666,0.500000,1.000000
2.212676,0.500000,1.000000
2.213360,0.500000,1.000000
2.213925,0.500000,1.000000
2.214516,0.500000,1.000000
2.215096,0.500000,1.000000
2.215656,0.500000,1.000000
2.216274,0.500000,1.000000
2.216876,0.500000,1.000000
2.217585,0.500000,1.000000
2.218093,0.500000,1.000000
2.218669,0.500000,1.000000
2.219275,0.500000,1.000000
2.219880,0.500000,1.000000
2.220518,0.500000,1.000000
2.221093,0.500000,1.000000
2.221652,0.500000,1.000000
2.222270,0.500000,1.000000
2.222864,0.500000,1.000000
2.223483,0.500000,1.000000
2.224050,0.500000,1.000000
2.224670,0.500000,1.000000
2.225288,0.500000,1.000000
2.225868,0.500000,1.000000
2.226505,0.500000,1.000000
2.227079,0.500000,1.000000
2.227669,0.500000,1.000000
2.228263,0.500000,1.000000
2.228857,0.500000,1.000000
2.229476,0.500000,1.000000
2.230052,0.500000,1.000000
2.230640,0.500000,1.000000
2.231272,0.500000,1.000000
2.231863,0.500000,1.000000
2.232529,0.500000,1.000000
2.233123,0.500000,1.000000
2.233658,0.500000,1.000000
2.234313,0.500000,1.000000
2.234915,0.500000,1.000000
2.270983,0.000000,-1.000000
2.280988,0.000000,-1.000000
2.281589,0.000000,-1.000000
2.282184,0.000000,-1.000000
2.282765,0.000000,-1.000000
2.283428,0.000000,-1.000000
2.284064,0.000000,-1.000000
